licenseNo,name,address,phone,lat,lng,refractometer,eyeChart,licensedOn
PHMB220263530019082200004,씨앤아이안경원,"인천광역시 남동구 선수촌로 37, SJ프라자 104호 (구월동)",032-466-0629,37.4427583,126.7143963,1,1,2026-08-11
PHMB220263080033082200001,오렌즈 수유중앙점,"서울특별시 강북구 도봉로 332, 홍승빌딩 1층 (번동)",,37.6375332,127.0253344,1,1,2026-08-11
PHMB220263520019082200001,오렌즈 인천송도학원가점,"인천광역시 연수구 신송로 154, 더 제니스 (송도동)",,37.3979747,126.6495003,1,1,2026-08-06
PHMB220265710109082200001,오렌즈 청주율량점,"충청북도 청주시 청원구 율량로 96, 율량센터프라자 1층 106호 (주성동)",043-216-4346,36.6722954,127.4965157,1,1,2026-08-05
PHMB220263460023082200002,오렌즈 대구수성구청역점,"대구광역시 수성구 달구벌대로 2517, 1층 (범어동)",,35.8594475,128.6378964,1,1,2026-08-05
PHMB220263290024082200002,으뜸플러스안경 부산개금역점,"부산광역시 부산진구 가야대로 476, 2층 (개금동)",051-895-3847,35.1530644,129.0239191,1,1,2026-08-05
PHMB220263730017082200001,안경그리기,"울산광역시 울주군 범서읍 대리3길 23, 105동 2층 201-75호 (구영 코아루아파트)",,35.5688623,129.2481471,1,1,2026-08-04
PHMB220265590021082200002,으뜸50안경 양주옥정점,"경기도 양주시 옥정로 196, 파스텔시티 201호 (옥정동)",031-857-1001,37.8191079,127.0920156,1,1,2026-08-03
PHMB220265790029082200001,으뜸안경친구,"전남광주통합특별시 순천시 충효로 32, 동원빌딩 308호 (연향동)",,34.9418251,127.512917,1,1,2026-07-31
PHMB220263990310082200004,다비치안경 별내점,"경기도 남양주시 별내2로 70, 1층 일부 (별내동)",031-527-6500,37.646758,127.125062,2,2,2026-07-30
PHMB220264000018082200001,으뜸50 안경 오산대역점,"경기도 오산시 내삼미로79번길 11, 선우중앙타워 202호 (수청동)",031-374-9786,37.1691549,127.0651478,1,1,2026-07-28
PHMB220263820050082200002,호원안경,"경기도 의정부시 평화로 186, 105호 (호원동)",031-877-9067,37.7083883,127.0482317,1,1,2026-07-28
PHMB220263530019082200003,오렌즈 인천서창점,"인천광역시 남동구 서창남로 51, 노블시티프라자 104호 (서창동)",,37.4240119,126.7497199,1,1,2026-07-28
PHMB220263220033082200004,블루베어안경원 대치 삼성역점,"서울특별시 강남구 삼성로86길 26, 드림 빌딩 3층 (대치동)",,37.5061952,127.0595818,1,1,2026-07-28
PHMB220265060023082200001,윤빛안경,"경상북도 김천시 혁신4로 65, 103호 (율곡동)",054-810-8115,36.121631,128.1886539,1,1,2026-07-21
PHMB220264520031082200003,아이젠트리안경 아산신창점,"충청남도 아산시 신창면 천우물로 23-11, 103호",,36.7852406,126.9528931,1,1,2026-07-21
PHMB220263450022082200002,동산안경 칠곡점,"대구광역시 북구 칠곡중앙대로 403, 1층 (태전동)",,35.9320207,128.5479427,1,1,2026-07-21
PHMB220265820050082200001,아이큐안경원,"전남광주통합특별시 북구 설죽로 402, 1층 (삼각동)",,35.1951071,126.9000635,1,1,2026-07-16
PHMB220263561044082200001,으뜸플러스안경 검암점,"인천광역시 서해구 승학로 509, 서교빌딩 2층 201호 (검암동)",032-566-7052,37.5657164,126.6760928,1,1,2026-07-16
PHMB220264050147082200002,오렌즈 용인역북점,"경기도 용인시 처인구 명지로40번길 4, 103호 (역북동)",,37.2328363,127.1879941,1,1,2026-07-14
PHMB220263060034082200003,으뜸플러스안경 먹골역점,"서울특별시 중랑구 동일로 907, 1층 101호 (묵동)",02-977-1363,37.6114513,127.0771691,2,1,2026-07-14
PHMB220263220033082200003,콜렉트 안경 청담,"서울특별시 강남구 도산대로 442, 피엔폴루스 지하1층 (청담동)",02-6947-1265,37.5235138,127.043536,2,1,2026-07-13
PHMB220263030033082200007,오렌즈 성수역점,"서울특별시 성동구 연무장7길 12, 세대빌딩 1층 102호 (성수동2가)",,37.543759,127.0547646,1,1,2026-07-13
PHMB220263130033082200008,으뜸50아현점,"서울특별시 마포구 신촌로 260-1, 2층 (아현동)",02-6356-2145,37.5572139,126.9545147,2,1,2026-07-09
PHMB220264050148082200002,아이즈온 안경원,"경기도 용인시 기흥구 동백죽전대로 455-11, 1층 B238호 (동백동, 동백호수공원 두산위브더제니스)",,37.2788025,127.1502709,3,1,2026-07-07
PHMB220264450014082200002,모리안경원,"충청북도 진천군 광혜원면 장기길 30, 1층",043-532-2290,36.9845518,127.4423387,1,1,2026-07-06
PHMB220263170035082200002,바니스튜디오 (가산점),"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 A동 1층 106호 (가산동)",,37.4800863,126.8823879,1,1,2026-07-06
PHMB220263860384082200002,테크노안경,"경기도 부천시 원미구 송내대로 388, 부천테크노파크 200동 108호 일부호 (약대동)",,37.5170767,126.7622409,1,1,2026-07-02
PHMB220263540021082200001,으뜸50안경산곡점,"인천광역시 부평구 세월천로 72, 2층 (산곡동)",032-507-3427,37.5134553,126.7014011,1,1,2026-07-02
PHMB220263240033082200003,으뜸플러스안경 상일동역점,"서울특별시 강동구 고덕로 399, 218호 (고덕동, 고덕센트럴푸르지오)",02-441-3807,37.5578379,127.1699317,1,1,2026-07-02
PHMB220263180034082200003,스테이 스튜디오 63빌딩점,"서울특별시 영등포구 63로 50, 63한화생명빌딩 지하1층 (여의도동)",02-2070-0010,37.5199511,126.9399512,1,1,2026-07-01
PHMB220265530660082200001,오렌즈 병점역점,"경기도 화성시 병점구 병점노을5로 28, 102호 (병점동)",,37.2064392,127.0314977,1,1,2026-06-29
PHMB220263990310082200003,아이어,"경기도 남양주시 진접읍 해밀예당1로 28, 1층",,37.7111675,127.1859266,1,1,2026-06-26
PHMB220263780064082200001,원 안경,"경기도 성남시 분당구 운중로 242, 리버스토리 108호 (판교동)",031-709-1117,37.3893309,127.0895965,1,1,2026-06-26
PHMB220263030033082200005,하파크리스틴 올리브영 성수 뷰티맨션점,"서울특별시 성동구 성수이로 108, 보성빌딩 2층 (성수동2가)",,37.5446884,127.0571934,1,1,2026-06-23
PHMB220264080023082200001,오렌즈 경기안성점,"경기도 안성시 중앙로 358, 1층 (석정동)",031-000-0000,37.0081458,127.2663623,1,1,2026-06-22
PHMB220263130033082200007,클라렌스튜디오마포본점,"서울특별시 마포구 마포대로 89, 서울마포우체국 1층 101호, 2층 201호 (도화동)",,37.5433629,126.9495641,1,1,2026-06-19
PHMB220264050149082200002,제작,"경기도 용인시 수지구 만현로 82-4, 헤르메스상가 112호 (상현동)",,37.3096396,127.0857105,1,1,2026-06-17
PHMB220263780062082200004,으뜸50안경 남위례역점,"경기도 성남시 수정구 위례광장로 9-9, 남위례역 푸르지오 시티 주건축물제1동 2층 205호 (창곡동)",031-609-5050,37.4647972,127.1411951,1,1,2026-06-17
PHMB220263620020082200004,이노티안경점광주첨단신용점,"전남광주통합특별시 북구 첨단연신로107번길 6, 호반베르디움 219동 101호 (신용동)",,35.2088887,126.8630908,1,1,2026-06-16
PHMB220265010026082200001,1004 안경원,전남광주통합특별시 신안군 지도읍 봉리길 15,,35.0606619,126.2109818,1,1,2026-06-12
PHMB220263170035082200001,오렌즈 가산디지털역점,"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 A동 1층 123호 일부 (가산동)",,37.4800863,126.8823879,1,1,2026-06-11
PHMB220264870012082200001,라운즈안경원전남구례점,전남광주통합특별시 구례군 구례읍 봉동길 3,,35.2095662,127.4680338,1,1,2026-06-10
PHMB220263940138082200001,으뜸50안경 원흥점,"경기도 고양시 덕양구 삼송로 8, 한일골드타워 2층 205호 (원흥동)",,37.6498999,126.8748468,1,1,2026-06-10
PHMB220263030033082200004,오렌즈 성수연무장길점,"서울특별시 성동구 연무장길 50, 104호 (성수동2가)",,37.5425973,127.0547089,1,1,2026-06-10
PHMB220265590021082200001,윙크렌즈스토어,"경기도 양주시 옥정로 214, 1층 101호 (옥정동)",,37.8208158,127.0920074,1,1,2026-06-09
PHMB220264191050082200002,으뜸안경친구,"강원특별자치도 원주시 원일로 61, 1층 (원동)",,37.3476231,127.9514032,1,1,2026-06-08
PHMB220263510513082200002,제물포안경원,"인천광역시 미추홀구 경인로 140, 2층 (숭의동)",032-875-9355,37.4660838,126.6579027,1,1,2026-06-08
PHMB220263230034082200004,아이빌리브 오금점,"서울특별시 송파구 동남로 317, 302호 (오금동, 한두리타워)",,37.5040252,127.1380532,1,1,2026-06-08
PHMB220263160034082200001,안경쉼표,"서울특별시 구로구 부일로15길 30, 102~103호 (궁동)",02-2612-1043,37.4945268,126.8332152,1,1,2026-06-04
PHMB220263990310082200002,독일안경원,"경기도 남양주시 진접읍 장현로 114, 1층일부",,37.7199555,127.1842897,1,1,2026-05-29
PHMB220263290024082200001,안경 봄,"부산광역시 부산진구 전포대로 186, 101호 (전포동, 목연정M팰리스)",051-815-0611,35.1533917,129.0657473,1,1,2026-05-29
PHMB220263130033082200006,페이스아이웨어,"서울특별시 마포구 양화로 188, 애경타워 3층 (동교동)",02-332-1702,37.559645,126.9246723,1,1,2026-05-29
PHMB220263620020082200003,으뜸플러스첨단2지구점,"전남광주통합특별시 북구 첨단연신로91번길 20-14, 1층 (신용동)",062-573-0777,35.2074665,126.8623983,1,1,2026-05-27
PHMB220264050147082200001,안경필통,"경기도 용인시 처인구 백옥대로 1374, 유림해피랜드 113호 (유방동)",,37.258055,127.2128058,1,1,2026-05-21
PHMB220263050034082200004,다보아안경 외대점,"서울특별시 동대문구 이문로 120, 이문아이파크자이상가 B동 1층 103호 (이문동)",02-2088-0003,37.5986158,127.0634103,1,1,2026-05-20
PHMB220264490261082200002,아프리카안경갤러리아센터시티점,"충청남도 천안시 서북구 공원로 227, 갤러리아 센터시티 1층 (불당동)",041-412-9936,36.8005847,127.1045945,1,1,2026-05-19
PHMB220263210034082200004,오오지 안경,서울특별시 서초구 양재천로29길 12 (양재동),,37.479745,127.0420033,1,1,2026-05-18
PHMB220265460011082200001,아이온안경,"경상남도 함양군 함양읍 함양로 1174, 101호",,35.5234471,127.7287592,1,1,2026-05-14
PHMB220263010033082200003,뉴뉴 아이스튜디오,"서울특별시 중구 명동6길 30, 지하1층 (명동2가)",,37.5621761,126.9841918,1,1,2026-05-14
PHMB220265670554082200001,아이씨유 엑스알,"경상남도 창원시 의창구 중동북로 23, 제이디윙스 1층 107-1호 (중동)",,35.2582544,128.6271084,1,1,2026-05-13
PHMB220263330024082200006,으뜸스타안경(센텀점),"부산광역시 해운대구 센텀중앙로 66, 센텀 T 타워 101호 (우동)",,35.1741958,129.1283598,1,1,2026-05-13
PHMB220263130033082200005,필터(FLTR),"서울특별시 마포구 월드컵북로1길 14, 웅일빌딩 2층 (서교동)",,37.5553252,126.9202529,1,1,2026-05-13
PHMB220265710108082200005,윙크 청주지웰시티점,"충청북도 청주시 흥덕구 대농로 49, 에스와이스타몰 A동 102호 (복대동)",070-8287-0204,36.6424601,127.4279707,1,1,2026-05-11
PHMB220263510513082200001,하파크리스틴 올리브영 롯데백화점인천점,"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 2층 일부호 (관교동)",,37.4415303,126.701213,1,1,2026-05-08
PHMB220265530658082200003,이츠안경 향남발안점,"경기도 화성시 만세구 향남읍 발안남로55번길 2, 103호",,37.1307625,126.9041112,1,1,2026-05-07
PHMB220263350024082200001,으뜸하이안경위드렌즈 부산대점,"부산광역시 금정구 장전온천천로 61, 2층 (장전동)",051-513-9901,35.2306798,129.0888394,1,1,2026-05-07
PHMB220263300024082200001,안경 올바른,"부산광역시 동래구 온천장로 7, 2층 1호 (온천동)",,35.2131713,129.0787067,1,1,2026-05-07
PHMB220263210034082200003,라운즈 방배점,"서울특별시 서초구 방배로 212, 1층 (방배동)",,37.4923203,126.9909894,1,1,2026-05-07
PHMB220265050041082200001,다비치안경 경주용황초교점,"경상북도 경주시 원화로 507, 1층 (용강동)",,35.8657088,129.2224158,1,2,2026-05-04
PHMB220264050148082200001,뉴웨인,"경기도 용인시 기흥구 동백중앙로 265, 더엠 1층 102,103호 (중동)",,37.2765177,127.1525298,1,1,2026-05-04
PHMB220263110032082200001,윙크렌즈스토어 연신내점,"서울특별시 은평구 연서로 223, 1층 (갈현동)",,37.6186149,126.9197281,1,1,2026-05-04
PHMB220263330024082200005,으뜸플러스안경 부산센텀점,"부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 210(일부)호 (재송동)",051-714-2757,35.176736,129.1251267,2,1,2026-04-30
PHMB220263330024082200004,프레임 아카이브,"부산광역시 해운대구 해운대해변로 287, 씨클라우드 104,105호 (중동)",,35.1606274,129.1621719,1,1,2026-04-30
PHMB220263330024082200003,하파크리스틴 신세계백화점 센텀시티점,"부산광역시 해운대구 센텀남대로 35, 신세계백화점센텀시티점 지하2층 (우동)",051-745-1669,35.1691079,129.1295872,1,1,2026-04-30
PHMB220265530658082200002,다비치안경 화성시청점,"경기도 화성시 만세구 남양읍 역골로49번길 25, 1층",031-356-3623,37.2021864,126.8252366,1,1,2026-04-29
PHMB220265090024082200001,아이프로젝트안경(EYE PROJECT) 영주점,"경상북도 영주시 대학로 217, 1층 (가흥동)",,36.8148277,128.6050305,1,1,2026-04-29
PHMB220264050149082200001,으뜸50안경 상현역점,"경기도 용인시 수지구 광교중앙로296번길 14, 2층 201호 (상현동)",031-215-5090,37.2972281,127.0700572,1,1,2026-04-29
PHMB220263140033082200004,안경진정성양천구청점,"서울특별시 양천구 목동동로 63, 대영프라자 1층 103-104호 (신정동)",,37.5154245,126.8621973,1,1,2026-04-29
PHMB220263050034082200003,으뜸플러스 답십리점,"서울특별시 동대문구 천호대로 305, 2층 (답십리동)",,37.5660713,127.0544346,1,1,2026-04-29
PHMB220263860384082200001,오렌즈 부천역북부점,"경기도 부천시 원미구 부일로 462, 1층 일부호 (심곡동)",,37.4860347,126.7812691,1,1,2026-04-28
PHMB220263030033082200003,뷰 하우스(VUE HAUS),"서울특별시 성동구 뚝섬로 440, 인흥빌딩 1층 (성수동2가)",,37.5376559,127.0591748,1,1,2026-04-28
PHMB220264040023082200002,브라이트안경원(Bright),"경기도 하남시 위례대로 220, 위례 지웰푸르지오 상가 102호 (학암동)",,37.4815402,127.1491703,1,1,2026-04-27
PHMB220263550020082200002,이노티안경 인천병방점,"인천광역시 계양구 장제로 919-1, 1층 103호 (병방동)",032-545-0077,37.548754,126.7411132,1,1,2026-04-27
PHMB220264450014082200001,안경공방,"충청북도 진천군 진천읍 중앙동로 73, 1층",043-534-9009,36.8566326,127.4447242,1,1,2026-04-23
PHMB220263650023082200001,장가안경,"대전광역시 중구 대종로 631-2, 101호 (중촌동)",,36.3373735,127.4148249,1,1,2026-04-23
PHMB220265130030082200002,씨유안경,"경상북도 경산시 경산로16길 3, 1층 (옥곡동)",053-812-6660,35.816506,128.7315216,1,1,2026-04-22
PHMB220263330024082200002,윙크 해운대역점,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 119호 (우동)",051-746-1565,35.1631637,129.1584482,1,1,2026-04-22
PHMB220263210034082200002,브라운 안경원,"서울특별시 서초구 서운로 220, 대지스포츠프라자 103호 (서초동)",,37.5028548,127.0216648,1,1,2026-04-22
PHMB220263150037082200002,오로라안경,"서울특별시 강서구 강서로47길 113, 성호빌딩 107호 (내발산동)",,37.5533231,126.8297397,2,1,2026-04-22
PHMB220265690045082200003,오렌즈 세종도담점,"세종특별자치시 보듬4로 9, 1층 54호 (도담동, 도램마을11단지)",,36.5138487,127.2599986,1,1,2026-04-21
PHMB220263940140082200002,으뜸플러스안경 일산대화점,"경기도 고양시 일산서구 중앙로 1574, 2층 202호 (대화동)",031-911-5480,37.6766979,126.7473179,2,1,2026-04-21
PHMB220263780062082200002,오렌즈 신흥역점,"경기도 성남시 수정구 산성대로 247, 1층 일부호 (신흥동)",,37.4402072,127.1444628,1,1,2026-04-20
PHMB220265690045082200002,아이링안경 by 안경매니져,"세종특별자치시 도움1로 106, 메가시티 1층 138호 (종촌동)",,36.5027471,127.2481008,1,1,2026-04-16
PHMB220263240033082200002,윙크렌즈스토어 천호점,"서울특별시 강동구 천호대로157길 17, 1층 (천호동)",,37.53875,127.1268477,1,1,2026-04-16
PHMB220264490261082200001,으뜸50안경 천안직산점,충청남도 천안시 서북구 직산읍 봉주로 59,,36.8776812,127.1530479,1,1,2026-04-15
PHMB220264040023082200001,으뜸50 하남시청점,"경기도 하남시 하남대로 815, 210호 (신장동, 명지캐럿108)",031-8027-9138,37.5412588,127.2068641,2,1,2026-04-15
PHMB220263440024082200001,룩스토어 명덕역점,"대구광역시 남구 명덕로 200, 1층 104호 (대명동, e편한세상 명덕역 퍼스트마크)",,35.8544598,128.5935395,1,1,2026-04-15
PHMB220263740032082200002,솜안경,"경기도 수원시 권선구 금호로 63-14, 102호 (금곡동)",070-8180-2574,37.2704517,126.9577276,1,1,2026-04-13
PHMB220263030033082200002,폰피쉬 무신사성수메가스토어점,"서울특별시 성동구 성수이로 62, 무신사 성수 S1 2층 (성수동2가)",,37.5404262,127.055788,1,1,2026-04-10
PHMB220264231038082200001,으뜸50안경 속초점,"강원특별자치도 속초시 청대로204번길 22, 203호 (조양동)",033-636-4221,38.1877836,128.5789392,1,1,2026-04-09
PHMB220264090023082200003,장기밝은안경,"경기도 김포시 김포한강2로 80, 106호 (장기동)",031-985-4320,37.639079,126.6741909,1,1,2026-04-09
PHMB220263150037082200001,피커아이안경원,"서울특별시 강서구 마곡중앙3로 16, VL 르웨스트 지하2층 209호 (마곡동)",,37.5628588,126.824899,3,1,2026-04-08
PHMB220264840022082200001,안경아울렛,전남광주통합특별시 광양시 광양읍 용강로 22,061-761-6754,34.9717506,127.6089717,1,1,2026-04-07
PHMB220263660023082200002,구름안경원 괴정점,"대전광역시 서구 괴정로 30, 1층 101호 (괴정동)",,36.3405809,127.3773565,2,1,2026-04-07
PHMB220263450022082200001,자이스 비전센터 대구,"대구광역시 북구 성북로 36, 침산 테라스스퀘어 216,217,218호 (침산동)",,35.8907392,128.5877309,2,2,2026-04-07
PHMB220263230034082200003,잠실롯데 금강안경,"서울특별시 송파구 송파대로 521, 롯데백화점 1층 (잠실동)",,37.5114079,127.0978176,1,1,2026-04-07
PHMB220263620020082200002,밝은세상안경원,"전남광주통합특별시 북구 북문대로 133, 운현빌딩 1층 106호 (운암동)",062-522-1314,35.1809399,126.8735408,2,1,2026-04-06
PHMB220263830263082200001,아프리카안경 롯데백화점 평촌점 더블랙,"경기도 안양시 동안구 시민대로 180, 롯데백화점 평촌점 3층 일부호 (호계동)",,37.3903461,126.9503657,1,1,2026-04-06
PHMB220265690045082200001,이노티안경 세종종촌가재점,"세종특별자치시 도움1로 108, 몰리브(Mallive) 1층 106호 (종촌동)",,36.5027224,127.2474811,1,1,2026-04-03
PHMB220263130033082200003,헬로비버대흥점,서울특별시 마포구 대흥로 80 (대흥동),,37.547252,126.9413487,1,1,2026-04-03
PHMB220263020033082200002,라운즈 안경원 서울역게이트웨이타워점,"서울특별시 용산구 후암로 107, 게이트웨이타워 B2층 (동자동)",,37.5535265,126.9734291,1,1,2026-04-03
PHMB220263630020082200001,윙크 광주첨단점,"전남광주통합특별시 광산구 첨단중앙로106번길 16, 1층 3호 (월계동)",,35.2147417,126.8440414,1,1,2026-04-02
PHMB220263470022082200005,으뜸50안경 진천점,"대구광역시 달서구 진천로 56, 2층 (진천동)",053-633-7336,35.813774,128.5246259,2,1,2026-04-02
PHMB220263180034082200002,으뜸플러스안경 서울신길뉴타운점,"서울특별시 영등포구 가마산로 483, 근생A동 제1층 1A05호 (신길동, 신길 AK 푸르지오)",02-2088-5528,37.5066976,126.9101271,1,1,2026-04-02
PHMB220263230034082200002,리뷰(Re;View),"서울특별시 송파구 올림픽로 329, 잠실르엘근린생활시설 지하층 B134호 (신천동)",02-6097-9097,37.5176359,127.1069165,1,1,2026-04-01
PHMB220263050034082200002,아이피아동대문점,"서울특별시 동대문구 고산자로 420, 103호 (용두동, 힐스테이트 청량리 메트로블)",02-965-4242,37.5774752,127.0387106,1,1,2026-03-31
PHMB220265080035082200001,세컨페이스 안경원 구미 산동점,"경상북도 구미시 산동읍 신당1로3길 19, 1층 104, 105호",054-474-1005,36.1559814,128.4311251,1,1,2026-03-30
PHMB220263740032082200001,으뜸안경아울렛,"경기도 수원시 권선구 일월천로4번길 54, 명수빌딩 102호 (구운동)",031-298-5802,37.282577,126.9750933,1,1,2026-03-30
PHMB220265020056082200001,안경진정성 포항우현점,"경상북도 포항시 북구 우창동로 31, 1층 (우현동)",,36.0555604,129.3622048,1,1,2026-03-26
PHMB220263550020082200001,위드렌즈 안경원,"인천광역시 계양구 경명대로 1063, 일부호 (계산동)",,37.543833,126.7250389,1,1,2026-03-25
PHMB220263470022082200004,한실로안경,"대구광역시 달서구 한실로6길 120, 102호 (대곡동)",053-634-0634,35.7970356,128.5288666,1,1,2026-03-25
PHMB220265710108082200004,으뜸플러스안경 청주오송점,"충청북도 청주시 흥덕구 오송읍 오송생명11로 46, 오송스타플릭스1 2층 2호",,36.6190378,127.3163099,1,1,2026-03-24
PHMB220263530019082200001,우노안경,"인천광역시 남동구 논고개로 61, 라피에스타 1층 113호 (논현동)",,37.3975189,126.7272988,1,1,2026-03-24
PHMB220263930162082200001,눈빛안경,"경기도 안산시 상록구 광덕1로 355, 데코스포텔 110, 111호 (이동)",031-409-8009,37.3073998,126.8489618,2,1,2026-03-23
PHMB220263230034082200001,오렌즈 잠실르엘점,"서울특별시 송파구 올림픽로 329, 잠실르엘 근린생활시설 133호 (신천동)",,37.5176359,127.1069165,1,1,2026-03-23
PHMB220263180034082200001,오렌즈 여의도역점,"서울특별시 영등포구 여의나루로 42, 여의도종합상가 1층 112호 (여의도동)",,37.5215714,126.9249478,1,1,2026-03-23
PHMB220263720017082200001,으뜸플러스 울산 매곡점,"울산광역시 북구 매곡로 160, 1층 (매곡동)",,35.6461258,129.3581142,1,1,2026-03-19
PHMB220265710108082200003,렌즈미 지웰시티점(See Channel),"충청북도 청주시 흥덕구 대농로 43, 113,114호 (복대동, 신영지웰시티)",,36.6439621,127.4250974,1,1,2026-03-18
PHMB220263010033082200002,하파크리스틴 올리브영 센트럴 명동타운점,"서울특별시 중구 명동8길 27, 엠 플라자 2층 (명동2가)",,37.562618,126.9850389,1,1,2026-03-18
PHMB220265530658082200001,이태리안경원,"경기도 화성시 만세구 송산면 송산포도로 102-1, 1층 일부호",,37.2143153,126.7374976,1,1,2026-03-17
PHMB220264261024082200001,바른안경,강원특별자치도 횡성군 둔내면 둔내로 32,,37.5127207,128.2140209,1,1,2026-03-17
PHMB220265540016082200004,세컨페이스 경기광주점,"경기도 광주시 중앙로 94, 1층 (역동)",031-8027-0747,37.408238,127.2591304,2,1,2026-03-16
PHMB220263740033082200001,수원역 안경공장,경기도 수원시 팔달구 매산로 12 (매산로1가),,37.2672022,127.0027722,1,1,2026-03-16
PHMB220265540016082200003,두손안경 위드렌즈,"경기도 광주시 태전동로 25, 106호 (태전동)",031-766-1030,37.3868904,127.234336,2,1,2026-03-13
PHMB220264800026082200002,으뜸플러스안경 목포하당점,"전남광주통합특별시 목포시 석현로 18-2, 102호 (석현동)",061-285-6205,34.8160395,126.4231982,1,1,2026-03-12
PHMB220263400013082200001,폼하우스 안경(정관점),"부산광역시 기장군 정관읍 정관로 383, 101호",051-990-9001,35.3353368,129.1654369,1,1,2026-03-12
PHMB220263430019082200001,예스비젼,"대구광역시 서구 서대구로15길 24, 1층 102호 (평리동)",053-942-3001,35.863924,128.5535628,1,1,2026-03-11
PHMB220265070014082200002,아이프로젝트(EYE PROJECT) 안경 안동용상점,경상북도 안동시 경동로 829 (용상동),,36.5617747,128.7476378,1,1,2026-03-10
PHMB220263820050082200001,코코뷰안경콘택트,"경기도 의정부시 오목로225번길 177, 폴리프라자 103호 (민락동)",,37.7446885,127.0970434,1,1,2026-03-05
