ykiho,name,kind,sido,sigungu,address,phone,homepage,lat,lng,doctors,openedOn,eyeDoctors,hours,lunch,recv,place
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,학교법인성균관대학삼성창원병원,university,경남,창원마산회원구,"경상남도 창원시 마산회원구 팔용로 158-158, (합성동, 삼성창원병원)",055-233-8899,http://smc.skku.edu,35.2424957,128.5923771,279,19810311,2,,,,
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,대구가톨릭대학교병원,university,대구,대구남구,"대구광역시 남구 두류공원로17길 33, (대명동)",053-650-3000,http://www.dcmc.co.kr/,35.8436078,128.5679969,289,19800812,6,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0830"", ""1230""]}",12시30분~13시30분,08시30분~17시30분,안지랑역 4번 출구
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,영남대학교병원,university,대구,대구남구,"대구광역시 남구 현충로 170, (대명동)",053-623-8001,http://www.yumc.ac.kr/00_main/main.htm,35.848107,128.58205,357,19830314,11,,,,
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,university,대구,대구달서구,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,http://www.dsmc.or.kr/,35.8538856,128.4801315,383,19680406,7,"{""0"": [""0900"", ""1730""], ""1"": [""0900"", ""1730""], ""2"": [""0900"", ""1730""], ""3"": [""0900"", ""1730""], ""4"": [""0900"", ""1730""]}",,08시30분~17시30분,계성중고등학교 앞
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,칠곡경북대학교병원,university,대구,대구북구,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",053-200-2000,www.knumc.org,35.9564207,128.5646727,229,20101029,4,,,,
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,university,대구,대구중구,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,http://knumc.knu.ac.kr,35.8662525,128.604703,459,19100907,7,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시30분~13시30분,"08시00분~16시30분(과에 따라 조기마감, 예약환자 제외)",한국은행 대구경북본부 맞은편
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,학교법인 건양교육재단 건양대학교병원,university,대전,대전서구,"대전광역시 서구 관저동로 158, (관저동)",042-600-9999,http://www.kyuh.ac.kr/,36.306642,127.342613,290,19991120,7,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0830"", ""1300""]}",12시30~1시30분,8시30분~17시30분,
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDgjJDgz,충남대학교병원,university,대전,대전중구,"대전광역시 중구 문화로 282- , (대사동)",042-1599-7123,www.cnuh.co.kr/,36.316908,127.415363,499,19841105,6,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,고신대학교복음병원,university,부산,부산서구,"부산광역시 서구 감천로 262, (암남동)",990-6114,http://www.kosinmed.or.kr/,35.0809636,129.0139595,280,19740226,4,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시00분-13시30분,08시00분-16시30분,
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQ0NjEwMDIjNDEjJDEjJDQjJDgz,동아대학교병원,university,부산,부산서구,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,http://www.damc.or.kr,35.1201682,129.0175391,310,19900303,7,"{""0"": [""0800"", ""1700""], ""1"": [""0800"", ""1700""], ""2"": [""0800"", ""1700""], ""3"": [""0800"", ""1700""], ""4"": [""0800"", ""1700""]}",12:00~13:00 / 13:00~14:00,8:00~17:00   /  전화예약 : 240-2400,동아대학교병원
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,부산대학교병원,university,부산,부산서구,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,,35.1008477,129.0188032,507,19810827,15,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,인제대학교부산백병원,university,부산,부산진구,"부산광역시 부산진구 복지로 75, 진사로83번길 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-6114,,35.1461809,129.0208925,348,19790601,9,,,,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,university,서울,강남구,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,http://www.samsunghospital.com,37.4882977,127.0851508,1291,19940613,20,,,,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,university,서울,강남구,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,http://gs.iseverance.com,37.4929296,127.0462683,516,19830404,11,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0830"", ""1230""]}",12:30~13:30,08:30~17:30,역삼2동 주민센터
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,university,서울,광진구,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,http://www.kuh.ac.kr,37.5403764,127.0718276,398,19821116,6,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0830"", ""1230""]}",12:00~13:00,08시30분 ~ 17시30분,지하철 2호선 7호선 건대입구역
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,university,서울,구로구,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,http://guro.kumc.or.kr/main/index.do,37.492052,126.8848701,524,19830831,10,,,,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,university,서울,동대문구,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,http://www.khuh.or.kr/,37.5941195,127.051852,430,19711005,7,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0900"", ""1200""]}",12:00~13:00,09:00~16:30,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,중앙대학교병원,university,서울,동작구,"서울특별시 동작구 흑석로 102, (흑석동)",1800-1114,http://ch.cauhs.or.kr/,37.5067481,126.9607839,361,20041201,5,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""], ""5"": [""0830"", ""1200""]}",12시00분~13시30분,08시30분~11시30분/13시00분~16시00분,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,university,서울,서대문구,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,http://www.yuhs.or.kr,37.5623446,126.9408265,1277,19740325,23,"{""0"": [""0900"", ""1700""], ""1"": [""0900"", ""1700""], ""2"": [""0900"", ""1700""], ""3"": [""0900"", ""1700""], ""4"": [""0900"", ""1700""], ""5"": [""0900"", ""1200""]}",12:30~13:30,"오전 08:00~11:30, 오후 13:30~15:30",신촌지하철역
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,university,서울,서초구,"서울특별시 서초구 반포대로 222, (반포동)",02-1588-1511,http://www.cmcseoul.or.kr/,37.5009444,127.0051154,714,19800502,30,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""], ""5"": [""0830"", ""1200""]}",12시30분~13시30분,08시~16시,서울성모병원
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,한양대학교병원,university,서울,성동구,"서울특별시 성동구 왕십리로 222-1, (사근동)",02-2290-8114,http://seoul.hyumc.com,37.5596569,127.0441339,410,19720424,8,,,,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),university,서울,성북구,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,http://anam.kumc.or.kr/main/index.do,37.5870165,127.0263537,508,19740325,7,"{""0"": [""0930"", ""1630""], ""1"": [""0930"", ""1630""], ""2"": [""0930"", ""1630""], ""3"": [""0930"", ""1630""], ""4"": [""0930"", ""1630""], ""5"": [""0930"", ""1200""]}",,08시30분 ~ 17시30분,안암역(6호선)
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,university,서울,송파구,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,http://www.amc.seoul.kr,37.5265762,127.107935,1592,19890520,28,,,,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjEwMDIjNjEjJDEjJDQjJDgz,이화여자대학교의과대학부속목동병원,university,서울,양천구,"서울특별시 양천구 안양천로 1071, (목동)",02-2650-5114,http://www.eumc.ac.kr/mokdong/,37.536602,126.8862043,400,19930730,6,"{""0"": [""0800"", ""1730""], ""1"": [""0800"", ""1730""], ""2"": [""0800"", ""1730""], ""3"": [""0800"", ""1730""], ""4"": [""0800"", ""1730""], ""5"": [""0900"", ""1200""]}",12시00분~13시00분,07시40분~17시00분,
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,university,서울,종로구,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,http://www.kbsmc.co.kr,37.5684083,126.96775,396,19790324,7,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""], ""5"": [""0830"", ""1200""]}",12:30 ~ 13:30,08:00 ~ 17:00,서울역사박물관
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,university,서울,종로구,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,http://www.snuh.org,37.5797151,126.9990168,1482,19810709,29,"{""0"": [""0900"", ""1700""], ""1"": [""0900"", ""1700""], ""2"": [""0900"", ""1700""], ""3"": [""0900"", ""1700""], ""4"": [""0900"", ""1700""], ""5"": [""0900"", ""1300""]}",12:00~13:00,,혜화역
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDgjJDgz,학교법인 울산공업학원 울산대학교병원,university,울산,울산동구,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,http://www.uuh.ulsan.kr/main/main.asp,35.5200702,129.4289116,367,19870701,7,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시30분~13시30분,08시30분~17시30분,현대호텔
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjODEjJDEjJDYjJDgz,의료법인 길의료재단 길병원,university,인천,인천남동구,"인천광역시 남동구 남동대로774번길 21-0, 의료법인길의료재단길병원",,www.gilhospital.com/,37.452171,126.7092258,472,19870217,7,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,university,인천,인천부평구,"인천광역시 부평구 동수로 56-0, 가톨릭대학교인천성모병원",032-1544-9004,http://www.cmcism.or.kr/,37.4848309,126.7248987,322,19810806,5,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""], ""5"": [""0800"", ""1200""], ""6"": [""0000"", ""0000""]}",12시00분~13시30분,08시00분~17시00분 (진료과 상황에 따라 변동 가능),부평6동주민센터
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNjEjJDEjJDAjJDgz,인하대학교의과대학부속병원,university,인천,인천제물포구,"인천광역시 제물포구 인항로 27-0, 인하대학병원",032-890-2114,http://www.inha.com/mainpage/index.htm,37.4586786,126.6340954,401,19960322,7,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""], ""5"": [""0830"", ""1200""]}",12시00분~13시00분,08시00분~16시00분,인천세관
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz,전남대학교병원,university,전남광주,광주동구,"전남광주통합특별시 동구 제봉로 42,  (학동)",062-1899-0000,http://www.cnuh.com/,35.1418094,126.9215805,503,19830415,9,"{""0"": [""0900"", ""1800""], ""1"": [""0900"", ""1800""], ""2"": [""0900"", ""1800""], ""3"": [""0900"", ""1800""], ""4"": [""0900"", ""1800""]}",12시00분~13시00분,08시00분~16시00분,광주지방병무청
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,조선대학교병원,university,전남광주,광주동구,"전남광주통합특별시 동구 필문대로 365, (학동)",062-1811-7474,http://hosp.chosun.ac.kr,35.1390537,126.9261467,306,19830415,5,,,,
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,화순전남대학교병원,university,전남광주,화순군,"전남광주통합특별시 화순군 화순읍 서양로 322, (화순읍)",061-379-7114,http://www.cnuhh.com/,35.0594333,127.0025,219,20040406,0,,,,
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,원광대학교병원,university,전북,익산시,"전북특별자치도 익산시 무왕로 895, (신동)",063-859-1114,http://www.wkuh.org/,35.9646389,126.9595793,269,19811027,3,"{""0"": [""0900"", ""1730""], ""1"": [""0900"", ""1730""], ""2"": [""0900"", ""1730""], ""3"": [""0900"", ""1730""], ""4"": [""0900"", ""1730""]}",12시30분~13시30분,09시00분~17시00분(진료종료1시간전),익산시보건소
JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,전북대학교병원,university,전북,전주덕진구,"전북특별자치도 전주시 덕진구 건지로 20,  (금암동)",063-250-1129,http://www.cuh.co.kr/,35.8470974,127.1411626,437,19830128,7,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시00분~13시00분(진료과별 차이 있음),,전주 덕진소방서
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjODEjJDEjJDYjJDgz,단국대학교의과대학부속병원,university,충남,천안동남구,"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,http://www.dkuh.co.kr/main/default.asp,36.8415904,127.172575,326,19940425,5,,,,
JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz,충북대학교병원,university,충북,청주서원구,"충청북도 청주시 서원구 1순환로 776-0, 충북대학교병원",043-269-6114,http://www.cbnuh.or.kr/business/main.action,36.6242237,127.4614843,325,19910531,5,"{""0"": [""0900"", ""1800""], ""1"": [""0900"", ""1800""], ""2"": [""0900"", ""1800""], ""3"": [""0900"", ""1800""], ""4"": [""0900"", ""1800""]}",12시00분~13시30분(진료과별 상황에 따라 1시간 사용),08시30분~18시00분,충북대학교 의과대학
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,의료법인 강릉동인병원,general,강원,강릉시,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",033-650-6161,http://www.dong-in.or.kr,37.77435,128.90735,35,19830618,1,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시30분~13시30분,08시30분~17시00분,
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,강원대학교병원,general,강원,춘천시,"강원특별자치도 춘천시 백령로 156, (효자동)",033-258-2000,http://www.knuh.or.kr/main/main.asp,37.8751611,127.7448909,256,19820708,4,,,,
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,한림대학교춘천성심병원,general,강원,춘천시,"강원특별자치도 춘천시 삭주로 77, 77",033-240-5000,http://chuncheon.hallym.or.kr/,37.8840791,127.7399592,151,19841210,5,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,의료법인명지의료재단명지병원,general,경기,고양덕양구,"경기도 고양시 덕양구 화수로14번길 55, (화정동)",031-810-5114,https://mjh.or.kr,37.6419949,126.8312622,208,19830328,2,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,국립암센터,general,경기,고양일산동구,"경기도 고양시 일산동구 일산로 323, (마두동)",031-920-0114,http://www.ncc.re.kr,37.6632301,126.7834097,199,20000908,1,"{""0"": [""0800"", ""1700""], ""1"": [""0800"", ""1700""], ""2"": [""0800"", ""1700""], ""3"": [""0800"", ""1700""], ""4"": [""0800"", ""1700""]}",12시00분~13시00분,08시00분~17시00분,국립암센터
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,국민건강보험공단일산병원,general,경기,고양일산동구,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",1577-0013,http://www.nhimc.or.kr,37.6454754,126.7930401,242,20000118,6,"{""0"": [""0900"", ""1730""], ""1"": [""0900"", ""1730""], ""2"": [""0900"", ""1730""], ""3"": [""0900"", ""1730""], ""4"": [""0900"", ""1730""], ""5"": [""0900"", ""1230""]}",12시00분 ~ 14시00분(교대식사),08시30분 ~ 16시30분,
